x	y
1952.000	0.017
1953.000	0.016
1954.000	0.013
1955.000	0.017
1956.000	0.017
1957.000	0.023
1958.000	0.032
1959.000	0.032
1960.000	0.034
1961.000	0.029
1962.000	0.032
1963.000	0.036
1964.000	0.027
1965.000	0.027
1966.000	0.030
1967.000	0.031
1968.000	0.027
1969.000	0.033
1970.000	0.033
1971.000	0.032
1972.000	0.044
1973.000	0.043
1974.000	0.051
1975.000	0.069
1976.000	0.073
1977.000	0.074
1978.000	0.061
1979.000	0.077
1980.000	0.072
1981.000	0.066
1982.000	0.069
1983.000	0.066
1984.000	0.074
1985.000	0.083
1986.000	0.071
1987.000	0.093
1988.000	0.088
1989.000	0.088
1990.000	0.095
1991.000	0.078
1992.000	0.095
1993.000	0.093
1994.000	0.124
1995.000	0.111
1996.000	0.099
1997.000	0.118
1998.000	0.140
1999.000	0.127
2000.000	0.131
2001.000	0.132
2002.000	0.168
2003.000	0.148
2004.000	0.192
2005.000	0.158
2006.000	0.184
2007.000	0.174
2008.000	0.176
2009.000	0.185
2010.000	0.176
2011.000	0.211
2012.000	0.198
