x	y
1.000	21.491
2.000	33.049
3.000	42.636
4.000	50.618
5.000	56.086
6.000	65.768
7.000	75.554
8.000	83.439
9.000	91.275
10.000	97.568
11.000	103.573
12.000	109.382
13.000	114.711
14.000	120.147
15.000	124.752
16.000	129.306
17.000	133.408
18.000	137.592
19.000	141.079
20.000	144.905
21.000	147.931
22.000	151.262
23.000	153.778
24.000	156.794
25.000	159.340
26.000	161.911
27.000	164.132
28.000	166.318
29.000	168.210
30.000	170.097
31.000	171.940
32.000	173.717
33.000	175.496
34.000	176.798
35.000	178.190
36.000	179.631
37.000	180.585
38.000	181.936
39.000	182.653
40.000	184.062
