x	y
1.000	0.200
2.000	0.166
3.000	0.133
4.000	0.101
5.000	0.100
6.000	0.100
7.000	0.100
8.000	0.100
9.000	0.100
10.000	0.101
11.000	0.102
12.000	0.102
13.000	0.103
14.000	0.104
15.000	0.106
16.000	0.110
17.000	0.113
18.000	0.119
19.000	0.125
20.000	0.130
21.000	0.134
22.000	0.134
23.000	0.134
24.000	0.133
25.000	0.131
26.000	0.129
27.000	0.128
28.000	0.126
29.000	0.124
30.000	0.123
31.000	0.121
32.000	0.120
33.000	0.118
34.000	0.118
35.000	0.116
36.000	0.115
37.000	0.114
38.000	0.113
39.000	0.112
40.000	0.111
