x	y
1952.000	54.152
1953.000	63.676
1954.000	79.711
1955.000	54.974
1956.000	49.321
1957.000	38.216
1958.000	63.824
1959.000	37.995
1960.000	59.959
1961.000	42.718
1962.000	47.699
1963.000	45.440
1964.000	38.179
1965.000	32.755
1966.000	53.323
1967.000	28.621
1968.000	31.632
1969.000	40.401
1970.000	21.536
1971.000	25.042
1972.000	28.621
1973.000	28.129
1974.000	29.059
1975.000	42.381
1976.000	31.645
1977.000	34.159
1978.000	23.828
1979.000	28.507
1980.000	31.284
1981.000	40.236
1982.000	38.337
1983.000	30.730
1984.000	34.931
1985.000	40.889
1986.000	35.905
1987.000	52.285
1988.000	38.977
1989.000	43.050
1990.000	46.037
1991.000	39.784
1992.000	44.365
1993.000	34.907
1994.000	55.138
1995.000	46.003
1996.000	58.091
1997.000	55.142
1998.000	50.373
1999.000	56.685
2000.000	69.507
2001.000	56.031
2002.000	52.503
2003.000	54.739
2004.000	63.737
2005.000	55.537
2006.000	45.790
2007.000	45.825
2008.000	54.037
2009.000	57.161
2010.000	53.146
2011.000	49.265
2012.000	43.052
