SA_fleet	species	age_quarters	selectivity
L-ALL-1	BET	1	0
L-ALL-1	BET	2	0
L-ALL-1	BET	3	0
L-ALL-1	BET	4	0
L-ALL-1	BET	5	0
L-ALL-1	BET	6	0.05
L-ALL-1	BET	7	0.16
L-ALL-1	BET	8	0.34
L-ALL-1	BET	9	0.53
L-ALL-1	BET	10	0.7
L-ALL-1	BET	11	0.84
L-ALL-1	BET	12	0.94
L-ALL-1	BET	13	0.99
L-ALL-1	BET	14	1
L-ALL-1	BET	15	0.99
L-ALL-1	BET	16	0.96
L-ALL-1	BET	17	0.92
L-ALL-1	BET	18	0.87
L-ALL-1	BET	19	0.84
L-ALL-1	BET	20	0.82
L-ALL-1	BET	21	0.78
L-ALL-1	BET	22	0.75
L-ALL-1	BET	23	0.73
L-ALL-1	BET	24	0.72
L-ALL-1	BET	25	0.69
L-ALL-1	BET	26	0.67
L-ALL-1	BET	27	0.67
L-ALL-1	BET	28	0.65
L-ALL-1	BET	29	0.64
L-ALL-1	BET	30	0.64
L-ALL-1	BET	31	0.64
L-ALL-1	BET	32	0.62
L-ALL-1	BET	33	0.62
L-ALL-1	BET	34	0.62
L-ALL-1	BET	35	0.62
L-ALL-1	BET	36	0.62
L-ALL-1	BET	37	0.62
L-ALL-1	BET	38	0.62
L-ALL-1	BET	39	0.62
L-ALL-1	BET	40	0.62
L-ALL-2	BET	1	0
L-ALL-2	BET	2	0
L-ALL-2	BET	3	0
L-ALL-2	BET	4	0
L-ALL-2	BET	5	0
L-ALL-2	BET	6	0.05
L-ALL-2	BET	7	0.16
L-ALL-2	BET	8	0.34
L-ALL-2	BET	9	0.53
L-ALL-2	BET	10	0.7
L-ALL-2	BET	11	0.84
L-ALL-2	BET	12	0.94
L-ALL-2	BET	13	0.99
L-ALL-2	BET	14	1
L-ALL-2	BET	15	0.98
L-ALL-2	BET	16	0.95
L-ALL-2	BET	17	0.92
L-ALL-2	BET	18	0.87
L-ALL-2	BET	19	0.84
L-ALL-2	BET	20	0.81
L-ALL-2	BET	21	0.78
L-ALL-2	BET	22	0.75
L-ALL-2	BET	23	0.73
L-ALL-2	BET	24	0.71
L-ALL-2	BET	25	0.69
L-ALL-2	BET	26	0.67
L-ALL-2	BET	27	0.67
L-ALL-2	BET	28	0.65
L-ALL-2	BET	29	0.64
L-ALL-2	BET	30	0.64
L-ALL-2	BET	31	0.64
L-ALL-2	BET	32	0.62
L-ALL-2	BET	33	0.62
L-ALL-2	BET	34	0.62
L-ALL-2	BET	35	0.62
L-ALL-2	BET	36	0.62
L-ALL-2	BET	37	0.62
L-ALL-2	BET	38	0.62
L-ALL-2	BET	39	0.62
L-ALL-2	BET	40	0.62
L-US-2	BET	1	0
L-US-2	BET	2	0
L-US-2	BET	3	0
L-US-2	BET	4	0
L-US-2	BET	5	0
L-US-2	BET	6	0.02
L-US-2	BET	7	0.1
L-US-2	BET	8	0.23
L-US-2	BET	9	0.42
L-US-2	BET	10	0.62
L-US-2	BET	11	0.82
L-US-2	BET	12	0.94
L-US-2	BET	13	0.99
L-US-2	BET	14	1.01
L-US-2	BET	15	0.96
L-US-2	BET	16	0.91
L-US-2	BET	17	0.83
L-US-2	BET	18	0.76
L-US-2	BET	19	0.7
L-US-2	BET	20	0.64
L-US-2	BET	21	0.59
L-US-2	BET	22	0.55
L-US-2	BET	23	0.51
L-US-2	BET	24	0.48
L-US-2	BET	25	0.45
L-US-2	BET	26	0.43
L-US-2	BET	27	0.42
L-US-2	BET	28	0.4
L-US-2	BET	29	0.39
L-US-2	BET	30	0.37
L-US-2	BET	31	0.37
L-US-2	BET	32	0.37
L-US-2	BET	33	0.35
L-US-2	BET	34	0.35
L-US-2	BET	35	0.35
L-US-2	BET	36	0.35
L-US-2	BET	37	0.35
L-US-2	BET	38	0.35
L-US-2	BET	39	0.35
L-US-2	BET	40	0.35
L-ALL-3	BET	1	0
L-ALL-3	BET	2	0
L-ALL-3	BET	3	0
L-ALL-3	BET	4	0
L-ALL-3	BET	5	0
L-ALL-3	BET	6	0.02
L-ALL-3	BET	7	0.04
L-ALL-3	BET	8	0.1
L-ALL-3	BET	9	0.18
L-ALL-3	BET	10	0.31
L-ALL-3	BET	11	0.47
L-ALL-3	BET	12	0.62
L-ALL-3	BET	13	0.78
L-ALL-3	BET	14	0.91
L-ALL-3	BET	15	0.97
L-ALL-3	BET	16	1
L-ALL-3	BET	17	0.96
L-ALL-3	BET	18	0.9
L-ALL-3	BET	19	0.78
L-ALL-3	BET	20	0.67
L-ALL-3	BET	21	0.57
L-ALL-3	BET	22	0.48
L-ALL-3	BET	23	0.4
L-ALL-3	BET	24	0.34
L-ALL-3	BET	25	0.29
L-ALL-3	BET	26	0.26
L-ALL-3	BET	27	0.23
L-ALL-3	BET	28	0.2
L-ALL-3	BET	29	0.18
L-ALL-3	BET	30	0.16
L-ALL-3	BET	31	0.15
L-ALL-3	BET	32	0.15
L-ALL-3	BET	33	0.13
L-ALL-3	BET	34	0.13
L-ALL-3	BET	35	0.13
L-ALL-3	BET	36	0.13
L-ALL-3	BET	37	0.13
L-ALL-3	BET	38	0.13
L-ALL-3	BET	39	0.13
L-ALL-3	BET	40	0.13
L-OS-3	BET	1	0
L-OS-3	BET	2	0
L-OS-3	BET	3	0
L-OS-3	BET	4	0
L-OS-3	BET	5	0
L-OS-3	BET	6	0
L-OS-3	BET	7	0
L-OS-3	BET	8	0.02
L-OS-3	BET	9	0.02
L-OS-3	BET	10	0.05
L-OS-3	BET	11	0.12
L-OS-3	BET	12	0.23
L-OS-3	BET	13	0.4
L-OS-3	BET	14	0.61
L-OS-3	BET	15	0.81
L-OS-3	BET	16	0.96
L-OS-3	BET	17	1
L-OS-3	BET	18	0.95
L-OS-3	BET	19	0.83
L-OS-3	BET	20	0.65
L-OS-3	BET	21	0.51
L-OS-3	BET	22	0.37
L-OS-3	BET	23	0.28
L-OS-3	BET	24	0.21
L-OS-3	BET	25	0.16
L-OS-3	BET	26	0.12
L-OS-3	BET	27	0.1
L-OS-3	BET	28	0.09
L-OS-3	BET	29	0.07
L-OS-3	BET	30	0.05
L-OS-3	BET	31	0.05
L-OS-3	BET	32	0.05
L-OS-3	BET	33	0.05
L-OS-3	BET	34	0.04
L-OS-3	BET	35	0.04
L-OS-3	BET	36	0.04
L-OS-3	BET	37	0.04
L-OS-3	BET	38	0.04
L-OS-3	BET	39	0.04
L-OS-3	BET	40	0.04
L-OS-7	BET	1	0
L-OS-7	BET	2	0
L-OS-7	BET	3	0
L-OS-7	BET	4	0
L-OS-7	BET	5	0
L-OS-7	BET	6	0
L-OS-7	BET	7	0
L-OS-7	BET	8	0
L-OS-7	BET	9	0.02
L-OS-7	BET	10	0.04
L-OS-7	BET	11	0.09
L-OS-7	BET	12	0.17
L-OS-7	BET	13	0.36
L-OS-7	BET	14	0.59
L-OS-7	BET	15	0.78
L-OS-7	BET	16	0.91
L-OS-7	BET	17	0.97
L-OS-7	BET	18	0.99
L-OS-7	BET	19	1
L-OS-7	BET	20	1
L-OS-7	BET	21	1
L-OS-7	BET	22	1
L-OS-7	BET	23	1
L-OS-7	BET	24	1
L-OS-7	BET	25	1
L-OS-7	BET	26	1
L-OS-7	BET	27	1
L-OS-7	BET	28	1
L-OS-7	BET	29	1
L-OS-7	BET	30	1
L-OS-7	BET	31	1
L-OS-7	BET	32	1
L-OS-7	BET	33	1
L-OS-7	BET	34	1
L-OS-7	BET	35	1
L-OS-7	BET	36	1
L-OS-7	BET	37	1
L-OS-7	BET	38	1
L-OS-7	BET	39	1
L-OS-7	BET	40	1
L-ALL-7	BET	1	0
L-ALL-7	BET	2	0
L-ALL-7	BET	3	0
L-ALL-7	BET	4	0
L-ALL-7	BET	5	0.02
L-ALL-7	BET	6	0.05
L-ALL-7	BET	7	0.11
L-ALL-7	BET	8	0.21
L-ALL-7	BET	9	0.32
L-ALL-7	BET	10	0.43
L-ALL-7	BET	11	0.54
L-ALL-7	BET	12	0.65
L-ALL-7	BET	13	0.78
L-ALL-7	BET	14	0.89
L-ALL-7	BET	15	0.95
L-ALL-7	BET	16	1
L-ALL-7	BET	17	1
L-ALL-7	BET	18	0.97
L-ALL-7	BET	19	0.89
L-ALL-7	BET	20	0.81
L-ALL-7	BET	21	0.72
L-ALL-7	BET	22	0.62
L-ALL-7	BET	23	0.54
L-ALL-7	BET	24	0.48
L-ALL-7	BET	25	0.43
L-ALL-7	BET	26	0.38
L-ALL-7	BET	27	0.34
L-ALL-7	BET	28	0.32
L-ALL-7	BET	29	0.29
L-ALL-7	BET	30	0.28
L-ALL-7	BET	31	0.26
L-ALL-7	BET	32	0.24
L-ALL-7	BET	33	0.24
L-ALL-7	BET	34	0.22
L-ALL-7	BET	35	0.22
L-ALL-7	BET	36	0.22
L-ALL-7	BET	37	0.22
L-ALL-7	BET	38	0.22
L-ALL-7	BET	39	0.22
L-ALL-7	BET	40	0.22
L-ALL-8	BET	1	0
L-ALL-8	BET	2	0
L-ALL-8	BET	3	0
L-ALL-8	BET	4	0
L-ALL-8	BET	5	0
L-ALL-8	BET	6	0.02
L-ALL-8	BET	7	0.05
L-ALL-8	BET	8	0.15
L-ALL-8	BET	9	0.32
