x	y
1972.000	0.127
1973.000	0.143
1974.000	0.198
1975.000	0.179
1976.000	0.211
1977.000	0.217
1978.000	0.195
1979.000	0.210
1980.000	0.221
1981.000	0.230
1982.000	0.225
1983.000	0.214
1984.000	0.254
1985.000	0.214
1986.000	0.246
1987.000	0.208
1988.000	0.209
1989.000	0.256
1990.000	0.271
1991.000	0.344
1992.000	0.346
1993.000	0.330
1994.000	0.325
1995.000	0.349
1996.000	0.347
1997.000	0.341
1998.000	0.362
1999.000	0.396
2000.000	0.401
2001.000	0.402
2002.000	0.443
2003.000	0.577
2004.000	0.656
2005.000	0.573
2006.000	0.668
2007.000	0.653
2008.000	0.768
2009.000	0.769
2010.000	0.728
2011.000	0.921
2012.000	0.766
