x	y
1972.000	0.045
1973.000	0.058
1974.000	0.077
1975.003	0.069
1976.000	0.074
1977.000	0.075
1978.000	0.079
1979.000	0.077
1980.000	0.095
1981.000	0.081
1982.000	0.070
1983.000	0.078
1984.000	0.093
1985.000	0.077
1986.000	0.087
1987.000	0.067
1988.000	0.082
1989.000	0.091
1990.000	0.094
1991.000	0.125
1992.000	0.126
1993.000	0.111
1993.996	0.105
1995.000	0.128
1996.000	0.123
1997.000	0.113
1998.000	0.139
1999.000	0.142
2000.000	0.158
2001.000	0.136
2002.000	0.170
2003.000	0.204
2004.000	0.193
2005.000	0.191
2006.000	0.218
2007.000	0.237
2008.000	0.251
2009.000	0.254
2010.000	0.263
2011.000	0.294
2012.000	0.296
