x	y
1972.000	6070.189
1973.000	4386.590
1974.000	3333.317
1975.000	4265.423
1976.000	4791.737
1977.000	5753.948
1978.000	3797.159
1979.000	4481.645
1980.000	3833.844
1981.000	4544.981
1982.000	7357.594
1983.000	6538.238
1984.000	5180.483
1985.000	7512.639
1986.000	6282.419
1987.000	8634.428
1988.000	5953.877
1989.000	6577.729
1990.000	7521.596
1991.000	6382.870
1992.000	6494.000
1993.000	7158.959
1994.000	8104.985
1995.000	6596.179
1996.000	7305.589
1997.000	8652.879
1998.000	7778.600
1999.000	7875.709
2000.000	6681.091
2001.000	7269.122
2001.996	6353.521
2003.000	5371.458
2004.000	8152.028
2005.000	7049.445
2006.000	8147.605
2007.000	7446.502
2008.000	7294.798
2009.000	8037.443
2010.000	7475.740
2011.000	8381.088
2012.000	6397.759
