SA_fleet	species	age_quarters	selectivity
P-ALL-1	SKJ	1	0.017
P-ALL-1	SKJ	2	0.017
P-ALL-1	SKJ	3	0.099
P-ALL-1	SKJ	4	1.002
P-ALL-1	SKJ	5	0.882
P-ALL-1	SKJ	6	0.299
P-ALL-1	SKJ	7	0.137
P-ALL-1	SKJ	8	0.126
P-ALL-1	SKJ	9	0.138
P-ALL-1	SKJ	10	0.166
P-ALL-1	SKJ	11	0.192
P-ALL-1	SKJ	12	0.218
P-ALL-1	SKJ	13	0.232
P-ALL-1	SKJ	14	0.243
P-ALL-1	SKJ	15	0.243
P-ALL-1	SKJ	16	0.247
S-ALL-1	SKJ	1	0.02
S-ALL-1	SKJ	2	0.02
S-ALL-1	SKJ	3	0.05
S-ALL-1	SKJ	4	0.68
S-ALL-1	SKJ	5	1
S-ALL-1	SKJ	6	0.4
S-ALL-1	SKJ	7	0.15
S-ALL-1	SKJ	8	0.09
S-ALL-1	SKJ	9	0.06
S-ALL-1	SKJ	10	0.06
S-ALL-1	SKJ	11	0.05
S-ALL-1	SKJ	12	0.05
S-ALL-1	SKJ	13	0.05
S-ALL-1	SKJ	14	0.05
S-ALL-1	SKJ	15	0.05
S-ALL-1	SKJ	16	0.05
L-JPN-1	SKJ	1	0.02
L-JPN-1	SKJ	2	0.02
L-JPN-1	SKJ	3	0.02
L-JPN-1	SKJ	4	0.05
L-JPN-1	SKJ	5	0.08
L-JPN-1	SKJ	6	0.1
L-JPN-1	SKJ	7	0.14
L-JPN-1	SKJ	8	0.23
L-JPN-1	SKJ	9	0.36
L-JPN-1	SKJ	10	0.52
L-JPN-1	SKJ	11	0.7
L-JPN-1	SKJ	12	0.85
L-JPN-1	SKJ	13	0.94
L-JPN-1	SKJ	14	0.99
L-JPN-1	SKJ	15	1
L-JPN-1	SKJ	16	1
P-ALL-2	SKJ	1	0.02
P-ALL-2	SKJ	2	0.04
P-ALL-2	SKJ	3	0.19
P-ALL-2	SKJ	4	0.75
P-ALL-2	SKJ	5	1
P-ALL-2	SKJ	6	0.75
P-ALL-2	SKJ	7	0.51
P-ALL-2	SKJ	8	0.37
P-ALL-2	SKJ	9	0.29
P-ALL-2	SKJ	10	0.25
P-ALL-2	SKJ	11	0.23
P-ALL-2	SKJ	12	0.22
P-ALL-2	SKJ	13	0.21
P-ALL-2	SKJ	14	0.21
P-ALL-2	SKJ	15	0.21
P-ALL-2	SKJ	16	0.21
S-ASS-ALL-2	SKJ	1	0
S-ASS-ALL-2	SKJ	2	0.05
S-ASS-ALL-2	SKJ	3	0.54
