x	y
1972.000	3147.158
1973.000	3759.654
1974.000	3548.740
1975.000	2858.005
1976.000	2678.197
1977.000	2882.542
1978.000	3327.032
1979.000	3134.688
1980.000	2951.328
1981.000	2693.886
1982.000	2907.482
1983.000	3836.150
1984.000	4238.737
1985.000	3873.156
1986.000	4202.267
1987.000	4533.522
1988.000	5126.509
1989.000	4663.986
1990.000	4222.312
1991.000	4274.939
1992.000	4006.033
1993.000	3856.263
1994.003	4190.466
1995.000	4394.678
1996.000	4245.643
1997.000	4166.802
1998.000	4707.295
1999.000	4812.886
2000.000	4490.881
2001.000	4053.970
2002.000	3960.444
2003.000	3373.089
2004.000	2937.517
2005.000	3367.190
2006.000	3500.470
2007.000	3748.861
2008.000	3385.559
2009.000	3228.749
2010.000	3353.514
2011.000	3051.556
2012.000	3196.166
