x	y
1952.000	0.007
1953.000	0.008
1954.000	0.008
1955.000	0.009
1956.000	0.008
1957.000	0.014
1958.000	0.013
1959.000	0.013
1960.000	0.014
1961.000	0.017
1962.000	0.021
1963.000	0.019
1964.000	0.015
1965.000	0.015
1966.000	0.021
1967.000	0.015
1968.000	0.019
1969.000	0.024
1970.000	0.030
1971.000	0.030
1972.000	0.030
1973.000	0.041
1974.000	0.045
1975.000	0.046
1976.000	0.056
1977.000	0.057
1978.000	0.056
1978.994	0.062
1980.000	0.073
1981.000	0.071
1982.000	0.075
1983.000	0.086
1984.000	0.085
1985.000	0.085
1986.000	0.074
1987.000	0.090
1988.000	0.082
1989.000	0.098
1990.000	0.114
1991.000	0.118
1992.000	0.133
1993.000	0.125
1994.000	0.143
1995.000	0.159
1996.000	0.142
1997.000	0.196
1998.000	0.264
1999.000	0.206
2000.000	0.235
2001.000	0.260
2002.000	0.232
2003.000	0.280
2004.000	0.247
2005.000	0.289
2006.000	0.260
2007.000	0.265
2008.000	0.308
2009.000	0.290
2010.000	0.358
2011.000	0.317
2012.000	0.381
