x	y
1952.000	0.001
1953.000	0.002
1954.000	0.004
1955.000	0.004
1956.000	0.004
1957.000	0.003
1958.000	0.004
1959.000	0.004
1960.000	0.005
1961.000	0.006
1962.000	0.006
1963.000	0.006
1964.000	0.004
1965.000	0.005
1966.000	0.006
1967.000	0.006
1968.000	0.007
1969.000	0.007
1970.000	0.041
1971.000	0.042
1972.000	0.056
1973.000	0.075
1974.000	0.079
1975.000	0.089
1976.000	0.068
1977.000	0.083
1978.000	0.060
1979.000	0.085
1980.000	0.088
1981.000	0.093
1982.000	0.094
1983.000	0.098
1984.000	0.123
1985.000	0.122
1986.000	0.106
1987.000	0.108
1988.000	0.122
1989.000	0.148
1990.000	0.146
1991.000	0.165
1992.000	0.114
1993.000	0.120
1994.000	0.166
1995.000	0.166
1996.000	0.179
1997.000	0.239
1998.000	0.211
1999.000	0.300
2000.000	0.300
2001.000	0.294
2002.000	0.303
2003.000	0.375
2004.000	0.323
2005.000	0.322
2006.000	0.300
2007.000	0.294
2008.000	0.331
2009.000	0.306
2010.000	0.311
2011.000	0.302
2012.000	0.289
