x	y
1952.000	955.268
1953.000	497.236
1954.000	1023.577
1955.000	1044.765
1956.000	956.462
1957.000	1035.815
1958.000	1270.019
1959.000	822.247
1960.000	422.700
1961.000	845.253
1962.000	955.691
1963.000	653.571
1964.000	1061.078
1965.000	601.387
1966.000	776.421
1967.000	545.142
1968.000	438.140
1969.000	720.512
1970.000	812.831
1971.000	466.880
1972.000	521.058
1973.000	616.157
1974.000	389.593
1975.000	657.297
1976.000	718.591
1977.000	768.258
1978.000	661.808
1979.000	583.924
1980.000	520.622
1981.000	691.305
1982.000	613.261
1983.000	665.329
1984.000	614.658
1985.000	752.570
1986.000	718.663
1987.000	660.673
1988.000	706.570
1989.000	580.693
1990.000	844.017
1991.000	500.729
1992.000	617.351
1993.000	645.145
1994.000	598.636
1995.000	347.494
1996.000	753.429
1997.000	369.642
1998.000	744.363
1999.000	555.052
2000.000	593.369
2001.000	548.751
2002.000	605.694
2003.000	498.735
2004.000	647.474
2005.000	571.453
2006.000	580.199
2007.000	585.947
2008.000	528.597
2009.000	570.565
2010.000	540.064
2011.000	565.748
2012.000	571.569
