SA_fleet	species	age_quarters	selectivity
L-ALL-1	YFT	1	0
L-ALL-1	YFT	2	0
L-ALL-1	YFT	3	0
L-ALL-1	YFT	4	0
L-ALL-1	YFT	5	0.03
L-ALL-1	YFT	6	0.1
L-ALL-1	YFT	7	0.15
L-ALL-1	YFT	8	0.15
L-ALL-1	YFT	9	0.18
L-ALL-1	YFT	10	0.18
L-ALL-1	YFT	11	0.23
L-ALL-1	YFT	12	0.3
L-ALL-1	YFT	13	0.38
L-ALL-1	YFT	14	0.48
L-ALL-1	YFT	15	0.58
L-ALL-1	YFT	16	0.68
L-ALL-1	YFT	17	0.76
L-ALL-1	YFT	18	0.84
L-ALL-1	YFT	19	0.91
L-ALL-1	YFT	20	0.93
L-ALL-1	YFT	21	0.98
L-ALL-1	YFT	22	1
L-ALL-1	YFT	23	1
L-ALL-1	YFT	24	1
L-ALL-1	YFT	25	1
L-ALL-1	YFT	26	1
L-ALL-1	YFT	27	1
L-ALL-1	YFT	28	1
L-ALL-2	YFT	1	0
L-ALL-2	YFT	2	0
L-ALL-2	YFT	3	0
L-ALL-2	YFT	4	0
L-ALL-2	YFT	5	0.03
L-ALL-2	YFT	6	0.11
L-ALL-2	YFT	7	0.16
L-ALL-2	YFT	8	0.16
L-ALL-2	YFT	9	0.18
L-ALL-2	YFT	10	0.18
L-ALL-2	YFT	11	0.23
L-ALL-2	YFT	12	0.31
L-ALL-2	YFT	13	0.38
L-ALL-2	YFT	14	0.48
L-ALL-2	YFT	15	0.58
L-ALL-2	YFT	16	0.68
L-ALL-2	YFT	17	0.75
L-ALL-2	YFT	18	0.83
L-ALL-2	YFT	19	0.9
L-ALL-2	YFT	20	0.93
L-ALL-2	YFT	21	0.98
L-ALL-2	YFT	22	1
L-ALL-2	YFT	23	1
L-ALL-2	YFT	24	1
L-ALL-2	YFT	25	1
L-ALL-2	YFT	26	1
L-ALL-2	YFT	27	1
L-ALL-2	YFT	28	1
L-US-2	YFT	1	0
L-US-2	YFT	2	0
L-US-2	YFT	3	0
L-US-2	YFT	4	0
L-US-2	YFT	5	0.06
L-US-2	YFT	6	0.11
L-US-2	YFT	7	0.13
L-US-2	YFT	8	0.13
L-US-2	YFT	9	0.13
L-US-2	YFT	10	0.16
L-US-2	YFT	11	0.18
L-US-2	YFT	12	0.26
L-US-2	YFT	13	0.33
L-US-2	YFT	14	0.43
L-US-2	YFT	15	0.53
L-US-2	YFT	16	0.64
L-US-2	YFT	17	0.74
L-US-2	YFT	18	0.81
L-US-2	YFT	19	0.89
L-US-2	YFT	20	0.94
L-US-2	YFT	21	0.97
L-US-2	YFT	22	0.99
L-US-2	YFT	23	1
L-US-2	YFT	24	1
L-US-2	YFT	25	1
L-US-2	YFT	26	1
L-US-2	YFT	27	1
L-US-2	YFT	28	1
L-ALL-3	YFT	1	0
L-ALL-3	YFT	2	0
L-ALL-3	YFT	3	0
L-ALL-3	YFT	4	0
L-ALL-3	YFT	5	0.03
L-ALL-3	YFT	6	0.13
L-ALL-3	YFT	7	0.33
L-ALL-3	YFT	8	0.63
L-ALL-3	YFT	9	0.88
L-ALL-3	YFT	10	1
L-ALL-3	YFT	11	0.97
L-ALL-3	YFT	12	0.85
L-ALL-3	YFT	13	0.73
L-ALL-3	YFT	14	0.63
L-ALL-3	YFT	15	0.53
L-ALL-3	YFT	16	0.48
L-ALL-3	YFT	17	0.43
L-ALL-3	YFT	18	0.4
L-ALL-3	YFT	19	0.38
L-ALL-3	YFT	20	0.36
L-ALL-3	YFT	21	0.36
L-ALL-3	YFT	22	0.36
L-ALL-3	YFT	23	0.33
L-ALL-3	YFT	24	0.33
L-ALL-3	YFT	25	0.33
L-ALL-3	YFT	26	0.33
L-ALL-3	YFT	27	0.33
L-ALL-3	YFT	28	0.33
L-OS-E-3	YFT	1	0
L-OS-E-3	YFT	2	0
L-OS-E-3	YFT	3	0
L-OS-E-3	YFT	4	0
L-OS-E-3	YFT	5	0
L-OS-E-3	YFT	6	0
L-OS-E-3	YFT	7	0.03
L-OS-E-3	YFT	8	0.13
L-OS-E-3	YFT	9	0.4
L-OS-E-3	YFT	10	0.81
L-OS-E-3	YFT	11	1
L-OS-E-3	YFT	12	0.93
L-OS-E-3	YFT	13	0.74
L-OS-E-3	YFT	14	0.59
L-OS-E-3	YFT	15	0.45
L-OS-E-3	YFT	16	0.37
L-OS-E-3	YFT	17	0.29
L-OS-E-3	YFT	18	0.28
L-OS-E-3	YFT	19	0.23
L-OS-E-3	YFT	20	0.23
L-OS-E-3	YFT	21	0.2
L-OS-E-3	YFT	22	0.2
L-OS-E-3	YFT	23	0.2
L-OS-E-3	YFT	24	0.2
L-OS-E-3	YFT	25	0.2
