x	y
1952.000	3395.828
1953.000	3369.803
1954.000	3363.668
1955.000	2923.598
1956.000	3198.038
1957.000	3753.114
1958.000	3639.596
1959.000	3766.003
1960.000	4154.208
1961.000	3788.310
1962.000	2792.854
1963.000	2629.083
1964.000	3016.049
1965.000	3266.322
1966.000	3469.256
1967.000	2939.524
1968.000	2618.362
1969.000	2390.705
1970.000	2102.385
1971.000	2283.755
1972.000	2570.340
1973.000	2136.466
1974.000	1816.421
1975.000	1891.274
1976.000	1729.423
1977.000	1829.247
1978.000	2223.959
1979.000	2410.720
1980.000	2211.195
1981.000	1996.737
1982.000	1905.711
1983.000	1987.628
1984.000	1942.270
1985.000	1898.895
1986.000	1902.055
1987.000	2084.664
1988.000	2134.173
1989.000	2130.083
1990.000	1998.162
1991.000	1754.766
1992.000	1934.277
1993.000	1780.792
1994.000	1604.069
1995.000	1550.532
1996.000	1547.124
1997.000	1374.863
1998.000	1368.977
1999.000	1167.717
2000.000	1236.807
2001.000	1137.292
2002.000	1138.903
2003.000	1109.656
2004.000	1111.267
2005.000	1006.300
2006.000	1063.679
2007.000	1020.180
2008.000	1037.840
2009.000	1053.888
2010.000	974.760
2011.000	944.150
2012.000	905.670
