"","LON5_D","LAT5_D","species","set_type","sp_catch","days","total_catch","EEZ","Country","Sovereign","PNA_country"
"1",-180,-10,"BET","ASS",2927.002,2671.52,93858.948,"High Seas",NA,NA,FALSE
"2",-180,-10,"BET","OTH",0,2671.52,93858.948,"High Seas",NA,NA,FALSE
"3",-180,-10,"BET","UNA",110.807,2671.52,93858.948,"High Seas",NA,NA,FALSE
"4",-180,-10,"OTH","ASS",2.732,2671.52,93858.948,"High Seas",NA,NA,FALSE
"5",-180,-10,"OTH","OTH",0,2671.52,93858.948,"High Seas",NA,NA,FALSE
"6",-180,-10,"OTH","UNA",2.16,2671.52,93858.948,"High Seas",NA,NA,FALSE
"7",-180,-10,"SKJ","ASS",48419.536,2671.52,93858.948,"High Seas",NA,NA,FALSE
"8",-180,-10,"SKJ","OTH",0,2671.52,93858.948,"High Seas",NA,NA,FALSE
"9",-180,-10,"SKJ","UNA",33559.059,2671.52,93858.948,"High Seas",NA,NA,FALSE
"10",-180,-10,"YFT","ASS",8163.8,2671.52,93858.948,"High Seas",NA,NA,FALSE
"11",-180,-10,"YFT","OTH",0,2671.52,93858.948,"High Seas",NA,NA,FALSE
"12",-180,-10,"YFT","UNA",673.852,2671.52,93858.948,"High Seas",NA,NA,FALSE
"13",-180,-5,"BET","ASS",3540.777,3231.75,134245.816,"High Seas",NA,NA,FALSE
"14",-180,-5,"BET","OTH",0,3231.75,134245.816,"High Seas",NA,NA,FALSE
"15",-180,-5,"BET","UNA",409.473,3231.75,134245.816,"High Seas",NA,NA,FALSE
"16",-180,-5,"OTH","ASS",11.372,3231.75,134245.816,"High Seas",NA,NA,FALSE
"17",-180,-5,"OTH","OTH",0,3231.75,134245.816,"High Seas",NA,NA,FALSE
"18",-180,-5,"OTH","UNA",2.079,3231.75,134245.816,"High Seas",NA,NA,FALSE
"19",-180,-5,"SKJ","ASS",46957.698,3231.75,134245.816,"High Seas",NA,NA,FALSE
"20",-180,-5,"SKJ","OTH",0,3231.75,134245.816,"High Seas",NA,NA,FALSE
"21",-180,-5,"SKJ","UNA",67746.301,3231.75,134245.816,"High Seas",NA,NA,FALSE
"22",-180,-5,"YFT","ASS",8595.545,3231.75,134245.816,"High Seas",NA,NA,FALSE
"23",-180,-5,"YFT","OTH",0,3231.75,134245.816,"High Seas",NA,NA,FALSE
"24",-180,-5,"YFT","UNA",6982.571,3231.75,134245.816,"High Seas",NA,NA,FALSE
"25",-175,-10,"BET","ASS",1729.698,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"26",-175,-10,"BET","OTH",0,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"27",-175,-10,"BET","UNA",64.215,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"28",-175,-10,"OTH","ASS",3.805,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"29",-175,-10,"OTH","OTH",0,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"30",-175,-10,"OTH","UNA",0.589,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"31",-175,-10,"SKJ","ASS",27234.921,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"32",-175,-10,"SKJ","OTH",0,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"33",-175,-10,"SKJ","UNA",39894.413,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"34",-175,-10,"YFT","ASS",3601.827,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"35",-175,-10,"YFT","OTH",0,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"36",-175,-10,"YFT","UNA",1144.047,2240.64,73673.515,"Tokelau Exclusive Economic Zone","Tokelau","New Zealand",FALSE
"37",-175,-5,"BET","ASS",5370.019,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"38",-175,-5,"BET","OTH",0,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"39",-175,-5,"BET","UNA",451.192,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"40",-175,-5,"OTH","ASS",14.901,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"41",-175,-5,"OTH","OTH",0,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"42",-175,-5,"OTH","UNA",4.661,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"43",-175,-5,"SKJ","ASS",49788.622,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"44",-175,-5,"SKJ","OTH",0,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"45",-175,-5,"SKJ","UNA",51885.492,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
"46",-175,-5,"YFT","ASS",8438.778,2825.56,126700.485,"Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",TRUE
