"","EEZ","Country","PNA_country","set_type","EEZ_total_catch","EEZ_total_days","LON5_D","LAT5_D"
"1","American Samoa Exclusive Economic Zone","American Samoa",FALSE,"ASS",2796.558,119.61,-170,-15
"2","American Samoa Exclusive Economic Zone","American Samoa",FALSE,"OTH",0,119.61,-170,-15
"3","American Samoa Exclusive Economic Zone","American Samoa",FALSE,"UNA",928.702,119.61,-170,-15
"4","Australian Exclusive Economic Zone","Australia",FALSE,"ASS",309.144,153.31,150,-15
"5","Australian Exclusive Economic Zone","Australia",FALSE,"ASS",6254.152,1289.16,155,-15
"6","Australian Exclusive Economic Zone","Australia",FALSE,"OTH",0,153.31,150,-15
"7","Australian Exclusive Economic Zone","Australia",FALSE,"OTH",0,1289.16,155,-15
"8","Australian Exclusive Economic Zone","Australia",FALSE,"UNA",3775.961,153.31,150,-15
"9","Australian Exclusive Economic Zone","Australia",FALSE,"UNA",22646.684,1289.16,155,-15
"10","Chinese Exclusive Economic Zone","China",FALSE,"ASS",0.106,338.88,120,25
"11","Chinese Exclusive Economic Zone","China",FALSE,"ASS",641.722,9026.63,125,30
"12","Chinese Exclusive Economic Zone","China",FALSE,"OTH",0,338.88,120,25
"13","Chinese Exclusive Economic Zone","China",FALSE,"OTH",0,9026.63,125,30
"14","Chinese Exclusive Economic Zone","China",FALSE,"UNA",0.393,338.88,120,25
"15","Chinese Exclusive Economic Zone","China",FALSE,"UNA",1730.662,9026.63,125,30
"16","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"ASS",0,56.28,-165,-15
"17","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"ASS",962.957,239.14,-165,-10
"18","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"ASS",0,63.05,-160,-10
"19","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"OTH",0,56.28,-165,-15
"20","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"OTH",0,239.14,-165,-10
"21","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"OTH",0,63.05,-160,-10
"22","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"UNA",1068.204,56.28,-165,-15
"23","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"UNA",5987.586,239.14,-165,-10
"24","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,"UNA",3083.85,63.05,-160,-10
"25","Fijian Exclusive Economic Zone","Fiji",FALSE,"ASS",74564.883,3720.92,175,-10
"26","Fijian Exclusive Economic Zone","Fiji",FALSE,"OTH",0,3720.92,175,-10
"27","Fijian Exclusive Economic Zone","Fiji",FALSE,"UNA",37483.761,3720.92,175,-10
"28","High Seas",NA,FALSE,"ASS",48419.536,2671.52,-180,-10
"29","High Seas",NA,FALSE,"ASS",46957.698,3231.75,-180,-5
"30","High Seas",NA,FALSE,"ASS",0,207.99,-165,-5
"31","High Seas",NA,FALSE,"ASS",72.459,62.15,-165,0
"32","High Seas",NA,FALSE,"ASS",0,457.14,-160,-5
"33","High Seas",NA,FALSE,"ASS",33760.499,12671.82,120,0
"34","High Seas",NA,FALSE,"ASS",0.897,58.99,120,30
"35","High Seas",NA,FALSE,"ASS",0.02,1381.76,135,35
"36","High Seas",NA,FALSE,"ASS",135047.529,18847.6,140,-5
"37","High Seas",NA,FALSE,"ASS",199903.777,33264.24,145,-5
"38","High Seas",NA,FALSE,"ASS",327.555,90.61,145,30
"39","High Seas",NA,FALSE,"ASS",25236.977,2259.61,145,35
"40","High Seas",NA,FALSE,"ASS",14524.801,873.65,150,35
"41","High Seas",NA,FALSE,"ASS",2381.592,262.52,150,40
"42","High Seas",NA,FALSE,"ASS",58654.532,6102.38,160,0
"43","High Seas",NA,FALSE,"ASS",244.943,65,160,35
"44","High Seas",NA,FALSE,"ASS",273531.743,16053.3,165,-5
"45","High Seas",NA,FALSE,"ASS",220498.868,14407.92,170,-5
"46","High Seas",NA,FALSE,"OTH",0,2671.52,-180,-10
"47","High Seas",NA,FALSE,"OTH",0,3231.75,-180,-5
"48","High Seas",NA,FALSE,"OTH",0,207.99,-165,-5
"49","High Seas",NA,FALSE,"OTH",0,62.15,-165,0
"50","High Seas",NA,FALSE,"OTH",0,457.14,-160,-5
"51","High Seas",NA,FALSE,"OTH",0,12671.82,120,0
"52","High Seas",NA,FALSE,"OTH",0,58.99,120,30
"53","High Seas",NA,FALSE,"OTH",0,1381.76,135,35
"54","High Seas",NA,FALSE,"OTH",0,18847.6,140,-5
"55","High Seas",NA,FALSE,"OTH",0,33264.24,145,-5
"56","High Seas",NA,FALSE,"OTH",0,90.61,145,30
"57","High Seas",NA,FALSE,"OTH",0,2259.61,145,35
"58","High Seas",NA,FALSE,"OTH",0,873.65,150,35
"59","High Seas",NA,FALSE,"OTH",0,262.52,150,40
"60","High Seas",NA,FALSE,"OTH",0,6102.38,160,0
"61","High Seas",NA,FALSE,"OTH",0,65,160,35
"62","High Seas",NA,FALSE,"OTH",0,16053.3,165,-5
"63","High Seas",NA,FALSE,"OTH",0,14407.92,170,-5
"64","High Seas",NA,FALSE,"UNA",33559.059,2671.52,-180,-10
"65","High Seas",NA,FALSE,"UNA",67746.301,3231.75,-180,-5
"66","High Seas",NA,FALSE,"UNA",6824.869,207.99,-165,-5
"67","High Seas",NA,FALSE,"UNA",2884.639,62.15,-165,0
"68","High Seas",NA,FALSE,"UNA",14080.882,457.14,-160,-5
"69","High Seas",NA,FALSE,"UNA",14291.552,12671.82,120,0
"70","High Seas",NA,FALSE,"UNA",3.902,58.99,120,30
"71","High Seas",NA,FALSE,"UNA",0.08,1381.76,135,35
"72","High Seas",NA,FALSE,"UNA",80697.62,18847.6,140,-5
"73","High Seas",NA,FALSE,"UNA",229373.636,33264.24,145,-5
"74","High Seas",NA,FALSE,"UNA",1383.246,90.61,145,30
"75","High Seas",NA,FALSE,"UNA",45313.124,2259.61,145,35
"76","High Seas",NA,FALSE,"UNA",15338.499,873.65,150,35
"77","High Seas",NA,FALSE,"UNA",8642.107,262.52,150,40
"78","High Seas",NA,FALSE,"UNA",76027.881,6102.38,160,0
"79","High Seas",NA,FALSE,"UNA",1617.057,65,160,35
"80","High Seas",NA,FALSE,"UNA",136065.633,16053.3,165,-5
"81","High Seas",NA,FALSE,"UNA",139524.866,14407.92,170,-5
"82","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,"ASS",1566.35,148.42,-175,0
"83","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,"OTH",0,148.42,-175,0
"84","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,"UNA",6767.502,148.42,-175,0
"85","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"ASS",22366.002,14440.76,125,-5
"86","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"ASS",55529.838,22301.79,125,0
"87","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"ASS",22366.188,14057.28,130,-5
"88","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"ASS",139611.695,58639.77,130,0
"89","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"ASS",55915.541,34859.11,135,-5
"90","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"ASS",126060.047,43298.87,135,0
"91","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"ASS",66783.781,7142.01,140,0
"92","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"OTH",0,14440.76,125,-5
"93","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"OTH",0,22301.79,125,0
"94","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"OTH",0,14057.28,130,-5
"95","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"OTH",0,58639.77,130,0
"96","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"OTH",0,34859.11,135,-5
"97","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"OTH",0,43298.87,135,0
"98","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"OTH",0,7142.01,140,0
"99","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"UNA",21921.839,14440.76,125,-5
"100","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"UNA",27060.621,22301.79,125,0
"101","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"UNA",21921.867,14057.28,130,-5
"102","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"UNA",73343.19,58639.77,130,0
"103","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"UNA",54804.761,34859.11,135,-5
"104","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"UNA",46938.561,43298.87,135,0
"105","Indonesian Exclusive Economic Zone","Indonesia",FALSE,"UNA",128405.097,7142.01,140,0
"106","Japanese Exclusive Economic Zone","Japan",FALSE,"ASS",29.292,1921.71,125,25
