"","LON5","LAT5","YY","MM","avg_sst"
"1",120,0,2000,2,28.8486414513021
"2",125,0,2000,2,29.2276078002959
"3",130,0,2000,2,29.2674105986183
"4",135,0,2000,2,29.3514766713069
"5",140,0,2000,2,30.4180615932168
"6",145,0,2000,2,29.7612389168586
"7",150,0,2000,2,29.4235974756969
"8",155,0,2000,2,28.777460148805
"9",160,0,2000,2,28.0199284020535
"10",165,0,2000,2,27.3714143281204
"11",170,0,2000,2,26.6285209289895
"12",175,0,2000,2,26.2140229932779
"13",175,0,2000,2,26.2140229932779
"14",180,0,2000,2,25.8089710561711
"15",120,5,2000,2,28.4207416896792
"16",125,5,2000,2,28.7142437331249
"17",130,5,2000,2,27.3151256627863
"18",145,5,2000,2,29.1640968057353
"19",155,5,2000,2,28.274449729641
"20",160,5,2000,2,28.6182564095423
"21",165,5,2000,2,28.350695235903
"22",170,5,2000,2,27.6024460590226
"23",175,5,2000,2,27.3917604046355
"24",125,-5,2000,2,28.6019486826665
"25",130,-5,2000,2,28.9839090370928
"26",135,-5,2000,2,29.2311762917873
"27",140,-5,2000,2,29.3382597899512
"28",145,-5,2000,2,30.5652229796378
"29",150,-5,2000,2,30.7398745529893
"30",155,-5,2000,2,30.078226273415
"31",160,-5,2000,2,29.2637836510064
"32",165,-5,2000,2,28.8306226220963
"33",170,-5,2000,2,28.3604563433709
"34",170,-5,2000,2,28.3604563433709
"35",175,-5,2000,2,28.1511519068533
"36",175,-5,2000,2,28.1511519068533
"37",180,-5,2000,2,28.5776526614483
"38",110,10,2000,2,25.678245243349
"39",115,10,2000,2,27.3185693158631
"40",135,-10,2000,2,28.9028532381923
"41",145,-10,2000,2,29.5710438437883
"42",150,-10,2000,2,29.7291185995732
"43",155,-10,2000,2,30.1933027203308
"44",160,-10,2000,2,30.3346860569059
"45",165,-10,2000,2,29.4552075715593
"46",170,-10,2000,2,29.1680092364039
"47",175,-10,2000,2,29.2527547526435
"48",175,-10,2000,2,29.2527547526435
"49",180,-10,2000,2,29.4665411362848
"50",110,15,2000,2,26.5027666010999
"51",115,15,2000,2,26.7401860489108
"52",145,-15,2000,2,28.1041260744445
"53",155,-15,2000,2,28.7038252368324
"54",160,-15,2000,2,28.3958009719787
"55",165,-15,2000,2,28.8413757358808
"56",170,-15,2000,2,29.1176364353076
"57",175,-15,2000,2,28.8754586387211
"58",175,-15,2000,2,28.8754586387211
"59",180,-15,2000,2,29.8124026467893
"60",140,-20,2000,2,NA
"61",170,-20,2000,2,28.4602912506955
"62",125,25,2000,2,22.2711713087502
"63",125,30,2000,2,14.735483226134
"64",130,30,2000,2,18.6626492395776
"65",135,30,2000,2,19.3825034172753
"66",140,30,2000,2,19.2660159339054
"67",130,35,2000,2,13.7619161916664
"68",140,35,2000,2,16.4847447413442
"69",170,-35,2000,2,20.734473671592
"70",175,-35,2000,2,21.1785351965873
"71",140,40,2000,2,7.53651123448189
"72",145,40,2000,2,8.16088319839675
"73",145,-40,2000,2,18.6974487587304
"74",150,-40,2000,2,20.075021577432
"75",175,-40,2000,2,18.9553624176876
"76",145,-45,2000,2,14.8147144622674
"77",120,0,2000,3,29.5602612307544
"78",125,0,2000,3,29.7647868666558
"79",130,0,2000,3,30.1057815937876
"80",135,0,2000,3,29.9172560449004
"81",140,0,2000,3,30.2116900545268
"82",145,0,2000,3,30.1335575224273
"83",150,0,2000,3,29.0546625520646
"84",155,0,2000,3,28.4279670335217
"85",160,0,2000,3,27.7515294138987
"86",165,0,2000,3,27.0735570087564
"87",170,0,2000,3,26.5025086573249
"88",120,5,2000,3,28.7685840001537
"89",125,5,2000,3,29.1000904218459
"90",130,5,2000,3,29.2590716111753
"91",140,5,2000,3,29.6037125331233
"92",150,5,2000,3,29.199754770815
"93",165,5,2000,3,28.0506257244118
"94",125,-5,2000,3,29.777356526235
"95",130,-5,2000,3,29.617880054313
"96",135,-5,2000,3,29.8764842832599
"97",140,-5,2000,3,30.230349368984
"98",145,-5,2000,3,30.783207834522
"99",150,-5,2000,3,30.4717147472789
"100",155,-5,2000,3,29.6416805178123
"101",160,-5,2000,3,29.121041646609
"102",165,-5,2000,3,28.7688337263563
"103",170,-5,2000,3,28.5238356805875
"104",175,-5,2000,3,28.29074200493
"105",180,-5,2000,3,27.8987488681085
"106",110,10,2000,3,26.222736908201
"107",115,10,2000,3,27.9195432130213
"108",145,-10,2000,3,28.8954692273673
"109",150,-10,2000,3,29.6318171610774
"110",155,-10,2000,3,30.0338078533505
"111",160,-10,2000,3,29.931638527021
"112",165,-10,2000,3,29.4888407572637
"113",170,-10,2000,3,29.4714509391842
"114",170,-10,2000,3,29.4714509391842
"115",175,-10,2000,3,29.1567231055984
"116",175,-10,2000,3,29.1567231055984
"117",180,-10,2000,3,29.0290767270164
"118",110,15,2000,3,25.7715592106485
"119",115,15,2000,3,27.0014058646653
"120",155,-15,2000,3,28.5196448023239
"121",175,-15,2000,3,29.1648301879377
"122",170,-20,2000,3,27.1410144886411
"123",175,-20,2000,3,28.1540201638438
"124",120,25,2000,3,18.9595846885968
"125",125,25,2000,3,22.8672385581425
"126",125,30,2000,3,14.4657646650249
"127",130,30,2000,3,19.9489443620546
"128",135,30,2000,3,19.3030799688204
"129",140,30,2000,3,19.2860012220928
"130",130,35,2000,3,13.1426483850692
"131",140,35,2000,3,16.4394067313425
"132",170,-35,2000,3,19.9345355616928
"133",140,40,2000,3,8.35687678154124
"134",145,40,2000,3,6.98702458194052
"135",145,-40,2000,3,18.2972658879231
"136",170,-40,2000,3,18.0436016698706
