st_yr,end_yr,ymin,ymax,fish
2006,2009,0,1,LL
2008.5,2010,1,2,LL
2009.5,2011,2,3,LL
2011,2013,3,4,LL
2013,2018,4,5,LL
2015,2018,5,6,LL
2006,2009,6,7,LL
2014,2018,7,8,LL
2006,2012,8,9,LL
2008,2018,9,10,LL
2008.5,2010,10,11,LL
2010,2013,11,12,LL
2010,2013,12,13,LL and PS
2012,2018,13,14,LL and PS
2013,2015,14,15,LL and PS
2015,2018,15,16,LL and PS
2016,2018,16,17,PS
2017,2019,17,18,PS
2006,2009,0,1,PS
2008.5,2010,1,2,PS
2009.5,2011,2,3,PS
2011,2013,3,4,PS
2013,2018,4,5,PS
2015,2018,5,6,PS
2006,2009,6,7,PS
2014,2018,7,8,PS
2006,2012,8,9,PS
2008,2018,9,10,PS
2008.5,2010,10,11,PS
2010,2013,11,12,PS
2010,2013,12,13,PS
2012,2018,13,14,PS
2013,2015,14,15,PS
2015,2018,15,16,PS
2016,2018,16,17,PS
2017,2019,17,18,PS
