st_yr,end_yr,mgt,Fishery,ymin,ymax
2006,2009,Annual catch capped at,LL,0.5,1
2006,2009,average 2001-04 levels,LL,0,0.5
2008.5,2010,10%  catch,LL,1.5,2
2008.5,2010,reduction,LL,1,1.5
2009.5,2011,20% catch,LL,2.5,3
2009.5,2011,reduction,LL,2,2.5
2011,2013,30% catch,LL,3.5,4
2011,2013,reduction,LL,3,3.5
2013,2018,Catch limits ,LL,4.5,5
2013,2018,specified by flag,LL,4,4.5
2015,2018,Catch reductions,LL,5.5,6
2015,2018,specified by flag,LL,5,5.5
2006,2009,Reduce fishing capacity ,LL and PS,6.5,7
2006,2009,to pre-1999 levels,LL and PS,6,6.5
2014,2018,No increase in large vessels,LL and PS,7.5,8
2014,2018, with freezing capacity,LL and PS,7,7.5
2006,2012,Annual effort levels ,PS,8.5,9
2006,2012,capped at 2004 levels,PS,8,8.5
2008,2018,Vessel Day,PS,9.5,10
2008,2018,Scheme,PS,9,9.5
2008.5,2010,2 month,PS,10.5,11
2008.5,2010,FAD closure,PS,10,10.5
2010,2013,High seas ,PS,11.5,12
2010,2013,pocket closures,PS,11,11.5
2010,2013,3 month,PS,12.5,13
2010,2013, FAD closure,PS,12,12.5
2012,2018,Annual effort levels ,PS,13.5,14
2012,2018,capped at 2010 levels,PS,13,13.5
2013,2015,4 month,PS,14.5,15
2013,2015,FAD closure,PS,14,14.5
2015,2018,5 month,PS,15.5,16
2015,2018,FAD closure,PS,15,15.5
2016,2018,PNA ,PS,16.5,17
2016,2018,FAD charge,PS,16,16.5
2017,2019,High seas ,PS,17.5,18
2017,2019,FAD closure,PS,17,17.5
