Year,Australia,China,Ecuador,El Salvador,FSM,Japan,Kiribati,Korea,Marshall Islands,NZ,PNG,PHI,Soloman IS,Spain,Chines Taipei,US,Vanatu,INDO distatn water vessels,Total
1967,,,,,,,,,,,,,,,,,,,0
1968,,,,,,,,,,,,,,,,,,,0
1969,,,,,,4,,,,,,,,,,,,,4
1970,,,,,,6,,,,,,,,,,,,,6
1971,,,,,,6,,,,,,,,,,,,,6
1972,,,,,,7,,,,,,,,,,,,,7
1973,,,,,,6,,,,,,,,,,,,,6
1974,,,,,,10,,,,,,,,,,,,,10
1975,,,,,,12,,,,,,,,,,,,,12
1976,,,,,,15,,,,,,,,,,,,,15
1977,,,,,,14,,,,,,,,,,1,,,15
1978,3,,,,,14,,,,,,,,,,2,,,16
1979,,,,,,17,,,,,,,,,,8,,,25
1980,1,,,,,16,,2,,,,,,,,14,,,32
1981,2,,,,,23,,3,,,,,1,,,14,,,41
1982,4,,,,,33,,10,,,,1,1,,,24,,,69
1983,6,,,,,36,,11,,7,,,1,,,62,,,117
1984,4,,,,,33,,12,,5,,3,1,,6,61,,,121
1985,,,,,,35,,11,,5,,5,1,,7,40,,,104
1986,,,,,,41,,13,,4,,5,1,,10,36,,,110
1987,,,,,,34,,20,,3,,5,2,,13,35,,,112
1988,,,,,,39,,23,,4,,9,4,,19,31,,,129
1989,,,,,,37,,30,,1,,13,4,,25,35,,,145
1990,1,,,,,35,,39,,9,,13,4,,32,43,,,175
1991,6,,,,6,35,,36,,6,,15,3,,39,43,,,183
1992,13,,,,7,38,,36,,7,,12,3,,45,44,,,192
1993,7,,,,7,36,,34,,5,,12,3,,43,42,,,182
1994,4,,,,8,33,1,32,,7,2,11,3,,43,49,1,,190
1995,3,,,,6,31,1,30,,6,3,13,3,,42,44,2,,181
1996,4,,,,4,32,1,28,,6,4,12,3,,42,39,2,,173
1997,5,,,,4,35,1,27,,7,10,12,4,,42,35,5,,182
1998,4,,,,3,35,1,26,,6,13,13,4,5,42,39,5,,192
1999,6,,,,4,36,1,26,,6,17,10,5,8,42,36,7,,198
2000,8,,7,,5,37,1,26,5,8,20,9,5,12,42,33,8,,218
2001,3,1,3,,5,36,1,26,5,9,22,10,2,6,41,32,2,,201
2002,3,3,4,2,8,35,1,26,5,11,26,10,2,5,41,29,2,,210
2003,2,4,5,1,8,35,1,27,6,9,28,11,3,5,36,26,4,,209
2004,3,6,6,,6,66,1,28,6,11,44,10,3,3,34,21,7,,252
2005,,8,9,,6,66,1,28,6,11,51,10,3,3,34,15,8,,259
2006,,9,11,,6,63,1,28,5,11,42,11,4,3,34,13,7,,248
2007,,10,12,3,5,70,1,28,5,10,47,12,5,3,34,22,10,,277
2008,,12,8,2,6,72,1,28,5,10,49,14,4,4,34,36,5,,290
2009,,12,7,2,6,72,4,27,6,9,41,25,7,4,33,39,6,,300
2010,,12,14,2,7,70,5,29,10,9,45,25,5,4,34,37,5,,313
2011,,12,8,2,7,73,7,28,10,9,49,25,5,4,34,37,6,,316
2012,,13,8,2,9,75,9,28,10,9,51,21,5,4,34,39,6,,323
2013,,14,7,4,10,75,12,27,10,9,51,27,5,4,34,40,6,,335
2014,,19,7,4,10,73,14,28,10,9,55,27,5,4,34,40,3,,342
2015,,,,,,,,,,,,,,,,,,,
