yy,gear,flag,fleet,alb_mt,bet_mt,pbf_mt,skj_mt,yft_mt,blm_mt,bum_mt,mls_mt,swo_mt,ham_mt,mak_mt,ocs_mt,por_mt,fal_mt,thr_mt
1950,H,PH,,0,0,0,0,1196,32,508,0,19,0,0,0,0,0,0
1950,K,PH,,0,0,0,1056,4784,0,0,0,0,0,0,0,0,0,0
1950,L,JP,DW,16713,17463,0,0,12575,0,0,0,0,0,0,0,0,0,0
1950,L,US,HW,27,781,0,34,269,0,0,0,0,0,0,0,0,0,0
1950,O,ID,,0,0,0,2645,625,0,0,0,0,0,0,0,0,0,0
1950,O,PH,,0,0,0,2782,2314,0,0,0,0,0,0,0,0,0,0
1950,P,JP,CS,0,646,0,33386,799,0,0,0,0,0,0,0,0,0,0
1951,H,PH,,0,0,0,0,1268,34,539,0,20,0,0,0,0,0,0
1951,K,PH,,0,0,0,1145,5071,0,0,0,0,0,0,0,0,0,0
1951,L,JP,DW,11384,11895,0,0,8566,0,0,0,0,0,0,0,0,0,0
1951,L,US,HW,24,913,0,12,296,0,0,0,0,0,0,0,0,0,0
1951,O,ID,,0,0,0,2854,693,0,0,0,0,0,0,0,0,0,0
1951,O,JP,,0,0,0,1676,0,0,0,0,0,0,0,0,0,0,0
1951,O,PH,,0,0,0,2927,2363,0,0,0,0,0,0,0,0,0,0
1951,P,JP,CS,0,729,0,96214,900,0,0,0,0,0,0,0,0,0,0
1951,S,JP,CS,0,1095,0,1748,938,0,0,0,0,0,0,0,0,0,0
1952,H,PH,,0,0,0,0,1344,36,571,0,22,0,0,0,0,0,0
1952,K,PH,,0,0,0,1241,5375,0,0,0,0,0,0,0,0,0,0
1952,L,JP,CS,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0
1952,L,JP,DW,22340,23342,0,0,16809,0,0,0,0,0,0,0,0,0,0
1952,L,US,HW,46,1013,0,54,322,0,0,0,0,0,0,0,0,0,0
1952,O,ID,,0,0,0,3079,768,0,0,0,0,0,0,0,0,0,0
1952,O,JP,,237,0,0,2614,0,0,0,0,0,0,0,0,0,0,0
1952,O,PH,,0,0,0,3080,2414,0,0,0,0,0,0,0,0,0,0
1952,P,JP,CS,0,2100,0,78518,2595,0,0,0,0,0,0,0,0,0,0
1952,S,JP,CS,154,1039,0,3716,2565,0,0,0,0,0,0,0,0,0,0
1953,H,PH,,0,0,0,0,1424,38,605,0,23,0,0,0,0,0,0
1953,K,PH,,0,0,0,1345,5698,0,0,0,0,0,0,0,0,0,0
1953,L,JP,CS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,L,JP,DW,23604,21783,0,0,22926,0,0,0,0,0,0,0,0,0,0
