gear_type,age_quarters,species,price,units
PS,1,BET,1595,$/mt
PS,2,BET,1795,$/mt
PS,3,BET,1945,$/mt
PS,4,BET,1995,$/mt
PS,5,BET,1995,$/mt
PS,6,BET,1995,$/mt
PS,7,BET,1995,$/mt
PS,8,BET,1995,$/mt
PS,9,BET,1995,$/mt
PS,10,BET,1995,$/mt
PS,11,BET,1995,$/mt
PS,12,BET,1995,$/mt
PS,13,BET,1995,$/mt
PS,14,BET,1995,$/mt
PS,15,BET,1995,$/mt
PS,16,BET,1995,$/mt
PS,17,BET,1995,$/mt
PS,18,BET,1995,$/mt
PS,19,BET,1995,$/mt
PS,20,BET,1995,$/mt
PS,21,BET,1995,$/mt
PS,22,BET,1995,$/mt
PS,23,BET,1995,$/mt
PS,24,BET,1995,$/mt
PS,25,BET,1995,$/mt
PS,26,BET,1995,$/mt
PS,27,BET,1995,$/mt
PS,28,BET,1995,$/mt
PS,29,BET,1995,$/mt
PS,30,BET,1995,$/mt
PS,31,BET,1995,$/mt
PS,32,BET,1995,$/mt
PS,33,BET,1995,$/mt
PS,34,BET,1995,$/mt
PS,35,BET,1995,$/mt
PS,36,BET,1995,$/mt
PS,37,BET,1995,$/mt
PS,38,BET,1995,$/mt
PS,39,BET,1995,$/mt
PS,40,BET,1995,$/mt
PL,1,BET,1595,$/mt
PL,2,BET,1795,$/mt
PL,3,BET,1945,$/mt
PL,4,BET,1995,$/mt
PL,5,BET,1995,$/mt
PL,6,BET,1995,$/mt
PL,7,BET,1995,$/mt
PL,8,BET,1995,$/mt
PL,9,BET,1995,$/mt
PL,10,BET,1995,$/mt
PL,11,BET,1995,$/mt
PL,12,BET,1995,$/mt
PL,13,BET,1995,$/mt
PL,14,BET,1995,$/mt
PL,15,BET,1995,$/mt
PL,16,BET,1995,$/mt
PL,17,BET,1995,$/mt
PL,18,BET,1995,$/mt
PL,19,BET,1995,$/mt
PL,20,BET,1995,$/mt
PL,21,BET,1995,$/mt
PL,22,BET,1995,$/mt
PL,23,BET,1995,$/mt
PL,24,BET,1995,$/mt
PL,25,BET,1995,$/mt
PL,26,BET,1995,$/mt
PL,27,BET,1995,$/mt
PL,28,BET,1995,$/mt
PL,29,BET,1995,$/mt
PL,30,BET,1995,$/mt
PL,31,BET,1995,$/mt
PL,32,BET,1995,$/mt
PL,33,BET,1995,$/mt
PL,34,BET,1995,$/mt
PL,35,BET,1995,$/mt
PL,36,BET,1995,$/mt
PL,37,BET,1995,$/mt
PL,38,BET,1995,$/mt
PL,39,BET,1995,$/mt
PL,40,BET,1995,$/mt
LL,1,BET,7804,$/mt
LL,2,BET,7804,$/mt
LL,3,BET,7804,$/mt
LL,4,BET,7804,$/mt
LL,5,BET,7804,$/mt
LL,6,BET,7804,$/mt
LL,7,BET,7804,$/mt
LL,8,BET,7804,$/mt
LL,9,BET,7804,$/mt
LL,10,BET,7804,$/mt
LL,11,BET,7804,$/mt
LL,12,BET,7804,$/mt
LL,13,BET,7804,$/mt
LL,14,BET,7804,$/mt
LL,15,BET,7804,$/mt
LL,16,BET,7804,$/mt
LL,17,BET,7804,$/mt
LL,18,BET,7804,$/mt
LL,19,BET,7804,$/mt
LL,20,BET,7804,$/mt
LL,21,BET,7804,$/mt
LL,22,BET,7804,$/mt
LL,23,BET,7804,$/mt
LL,24,BET,7804,$/mt
LL,25,BET,7804,$/mt
LL,26,BET,7804,$/mt
LL,27,BET,7804,$/mt
LL,28,BET,7804,$/mt
LL,29,BET,7804,$/mt
LL,30,BET,7804,$/mt
LL,31,BET,7804,$/mt
LL,32,BET,7804,$/mt
LL,33,BET,7804,$/mt
LL,34,BET,7804,$/mt
LL,35,BET,7804,$/mt
LL,36,BET,7804,$/mt
LL,37,BET,7804,$/mt
LL,38,BET,7804,$/mt
LL,39,BET,7804,$/mt
LL,40,BET,7804,$/mt
PS,1,SKJ,1595,$/mt
PS,2,SKJ,1595,$/mt
PS,3,SKJ,1795,$/mt
PS,4,SKJ,1945,$/mt
PS,5,SKJ,2300,$/mt
PS,6,SKJ,2300,$/mt
PS,7,SKJ,2300,$/mt
PS,8,SKJ,2300,$/mt
PS,9,SKJ,2400,$/mt
PS,10,SKJ,2400,$/mt
PS,11,SKJ,2400,$/mt
PS,12,SKJ,2400,$/mt
PS,13,SKJ,2400,$/mt
PS,14,SKJ,2400,$/mt
PS,15,SKJ,2400,$/mt
PS,16,SKJ,2400,$/mt
PL,1,SKJ,1595,$/mt
PL,2,SKJ,1595,$/mt
PL,3,SKJ,1795,$/mt
PL,4,SKJ,1945,$/mt
PL,5,SKJ,2300,$/mt
PL,6,SKJ,2300,$/mt
PL,7,SKJ,2300,$/mt
PL,8,SKJ,2300,$/mt
PL,9,SKJ,2400,$/mt
PL,10,SKJ,2400,$/mt
PL,11,SKJ,2400,$/mt
PL,12,SKJ,2400,$/mt
PL,13,SKJ,2400,$/mt
PL,14,SKJ,2400,$/mt
PL,15,SKJ,2400,$/mt
PL,16,SKJ,2400,$/mt
LL,1,SKJ,0,$/mt
LL,2,SKJ,0,$/mt
LL,3,SKJ,0,$/mt
LL,4,SKJ,0,$/mt
LL,5,SKJ,0,$/mt
LL,6,SKJ,0,$/mt
LL,7,SKJ,0,$/mt
LL,8,SKJ,0,$/mt
LL,9,SKJ,0,$/mt
LL,10,SKJ,0,$/mt
LL,11,SKJ,0,$/mt
LL,12,SKJ,0,$/mt
LL,13,SKJ,0,$/mt
LL,14,SKJ,0,$/mt
LL,15,SKJ,0,$/mt
LL,16,SKJ,0,$/mt
PS,1,YFT,1795,$/mt
PS,2,YFT,1995,$/mt
PS,3,YFT,1995,$/mt
PS,4,YFT,1995,$/mt
PS,5,YFT,1995,$/mt
PS,6,YFT,1995,$/mt
PS,7,YFT,1995,$/mt
PS,8,YFT,1995,$/mt
PS,9,YFT,1995,$/mt
PS,10,YFT,1995,$/mt
PS,11,YFT,1995,$/mt
PS,12,YFT,1995,$/mt
PS,13,YFT,1995,$/mt
PS,14,YFT,1995,$/mt
PS,15,YFT,1995,$/mt
PS,16,YFT,1995,$/mt
PS,17,YFT,1995,$/mt
PS,18,YFT,1995,$/mt
PS,19,YFT,1995,$/mt
PS,20,YFT,1995,$/mt
PS,21,YFT,1995,$/mt
PS,22,YFT,1995,$/mt
PS,23,YFT,1995,$/mt
PS,24,YFT,1995,$/mt
PS,25,YFT,1995,$/mt
PS,26,YFT,1995,$/mt
PS,27,YFT,1995,$/mt
PS,28,YFT,1995,$/mt
PL,1,YFT,1795,$/mt
PL,2,YFT,1995,$/mt
PL,3,YFT,1995,$/mt
PL,4,YFT,1995,$/mt
PL,5,YFT,1995,$/mt
PL,6,YFT,1995,$/mt
PL,7,YFT,1995,$/mt
PL,8,YFT,1995,$/mt
PL,9,YFT,1995,$/mt
PL,10,YFT,1995,$/mt
PL,11,YFT,1995,$/mt
PL,12,YFT,1995,$/mt
PL,13,YFT,1995,$/mt
PL,14,YFT,1995,$/mt
PL,15,YFT,1995,$/mt
PL,16,YFT,1995,$/mt
PL,17,YFT,1995,$/mt
PL,18,YFT,1995,$/mt
PL,19,YFT,1995,$/mt
PL,20,YFT,1995,$/mt
PL,21,YFT,1995,$/mt
PL,22,YFT,1995,$/mt
PL,23,YFT,1995,$/mt
PL,24,YFT,1995,$/mt
PL,25,YFT,1995,$/mt
PL,26,YFT,1995,$/mt
PL,27,YFT,1995,$/mt
PL,28,YFT,1995,$/mt
LL,1,YFT,5313,$/mt
LL,2,YFT,5313,$/mt
LL,3,YFT,5313,$/mt
LL,4,YFT,5313,$/mt
LL,5,YFT,5313,$/mt
LL,6,YFT,5313,$/mt
LL,7,YFT,5313,$/mt
LL,8,YFT,5313,$/mt
LL,9,YFT,5313,$/mt
LL,10,YFT,5313,$/mt
LL,11,YFT,5313,$/mt
LL,12,YFT,5313,$/mt
LL,13,YFT,5313,$/mt
LL,14,YFT,5313,$/mt
LL,15,YFT,5313,$/mt
LL,16,YFT,5313,$/mt
LL,17,YFT,5313,$/mt
LL,18,YFT,5313,$/mt
LL,19,YFT,5313,$/mt
LL,20,YFT,5313,$/mt
LL,21,YFT,5313,$/mt
LL,22,YFT,5313,$/mt
LL,23,YFT,5313,$/mt
LL,24,YFT,5313,$/mt
LL,25,YFT,5313,$/mt
LL,26,YFT,5313,$/mt
LL,27,YFT,5313,$/mt
LL,28,YFT,5313,$/mt
