"","CN","EC","EP","ES","FM","ID","JP","KI","KR","MH","NZ","PG","PH","SB","SV","TV","TW","US","VN","VU"
"AU",-0.774711087566054,-0.517941449074992,0.324756367273066,-0.685941005484318,-0.0172524941254608,-0.370747757850164,0.869953561441741,-0.746804121206414,-0.375710007572457,-0.289477342920758,0.474962357737336,-0.00846524151475683,0.234400741398633,-0.258863591492613,-0.864001798774905,-0.685676505668678,0.302327662623515,-0.610627362048236,-0.626646672912265,0.0812906449382969
"BZ",-0.721457741065442,-0.564861541174956,0.0213143108501328,-0.649373395622261,0.143471780097071,-0.255429598304364,0.542291866053417,-0.323926096006526,-0.200848966156124,0.0157172003639049,0.147229758015438,0.182958739395331,0.0318051520574635,0.158132162682178,-0.752314977249585,0.632473399337384,0.563356924168578,-0.375797037155566,-0.340879682522824,-0.148560556411295
"CK",0.426146633298408,0.598092068012418,-0.0338408198494569,0.417292217899545,0.305860451826941,-0.0403474369113586,-0.453639084888003,0.304934995997087,0.171161390866253,0.436453703971693,-0.239569622856455,0.0691491683749318,-0.365145218828779,0.323796728163008,0.523928515732315,0.521986896736462,-0.21532523680901,0.298912685587931,0.69001368851815,-0.0888685803568482
"CN",0.517633881139939,0.454558798043495,-0.120643159171885,0.477387656968534,-0.204456491803365,0.300580278132272,-0.5123805041707,0.29694865200648,0.419259328112311,0.297731739154119,0.160896999257516,0.117860312228603,-0.26155430225528,-0.151073696361527,0.563113640686493,-0.64850168806442,-0.571048176077503,0.204865360882291,0.28942996727986,-0.0446693947881689
"ES",-0.412468509646676,0.0390602406332268,-0.0616537238590165,-0.028461182155828,-0.286095538409498,-0.169058802666203,0.769528275097091,-0.34648292200101,-0.125598649738953,-0.549512804987372,0.460594250287112,-0.066714921253809,0.184660751997687,-0.691560486352653,-0.365783809268987,-0.367660705564389,-0.130446273239336,-0.425388062724389,-0.192890620682984,-0.068655010084923
"FJ",0.477669273658057,0.43497645026015,-0.250303735452829,0.49348557640734,0.583076541687934,0.0969509295150935,-0.468979152235335,0.672847956380926,0.207321386372328,0.570100506230625,-0.241406749409968,0.237548362312116,-0.50784658583125,0.361763611427719,0.660448587181359,0.362201798038551,0.0488861722618631,0.531897819598336,0.773837016883187,-0.0224978014782033
"FM",0.506595178746788,0.46302887649863,-0.285648699113915,0.782864575336049,0.0587279836255245,0.300987231554638,-0.469909430836414,0.60914087623411,0.0550568477205096,0.0781084672464029,-0.42548531785546,-0.429529454821423,-0.696738048171258,0.0578566696091217,0.788793010321396,0.22060463213303,-0.361509813516231,0.641890417218852,0.581410041991335,-0.493370417288328
"ID",0.285483967593028,0.348033888452901,-0.24253440130727,0.511224585614392,0.370615683097912,0.233964833502302,-0.098799949104214,0.431349570073775,0.0581363714388543,-0.0438744241691614,-0.121697904934756,0.10570324908672,-0.217078162536935,-0.17023024048372,0.568260221285611,-0.201335873355439,-0.114893568404227,0.391283954186656,0.454463183826655,-0.124197143971435
"JP",-0.845386267469597,-0.66995916720952,0.491924604576587,-0.886499080861743,-0.0237213664478173,-0.592904984669394,0.741324298193618,-0.83177225689763,-0.0831697608189997,-0.123049062274651,0.636771862210203,0.247785411242885,0.438284058764536,-0.123493190701715,-0.921374131476656,-0.606419431206063,0.544864024299689,-0.779580732719237,-0.656163056581709,0.54416040676047
"KI",0.507961717750492,0.614365853064815,-0.408799456488037,0.646122570509447,0.243538472215695,0.512411156137782,-0.510707405008894,0.538204242303649,-0.00751627829528039,0.231867583596035,-0.496687350988148,-0.0138579901969582,-0.347007755775687,0.252122200170794,0.683386323211452,0.95283990328559,-0.219819057873006,0.555099821870612,0.906229659114589,-0.281118706383512
"KR",-0.482211129315076,-0.391007558003119,0.195033759147918,-0.504011345288254,0.364289411127491,-0.227074467764782,0.300331437853472,-0.385974977133324,-0.100496947864755,-0.316035199503975,-0.144047063080926,0.139421633072329,0.164610896514093,0.20283699162534,-0.480326883019777,0.229817862896412,0.700313857127919,-0.282633570621438,-0.361270457597823,0.0818469951990913
"MH",0.452226095647851,0.520605033207441,-0.0855455646286374,0.438219185654166,-0.244539297717369,0.14096501611637,-0.326462966676584,0.0605510550816662,0.36309074833935,-0.326230029523734,-0.451224731944442,-0.358444925719366,-0.177140411993051,0.134447596032355,0.296917234644963,-0.322973790078073,-0.427531487064543,0.263141400960788,0.0157359907227444,-0.487753676618526
"NC",-0.711188332376508,-0.384601455730853,0.530363613654575,-0.3118422047864,0.0935784178449151,-0.168223026020859,0.288703933536971,-0.341551940568933,-0.444005823244953,-0.541459827294916,-0.170277783708046,-0.301409738013265,0.435158265333681,0.0733583985205858,-0.779103325732817,-0.00548811645873839,0.221006328359269,-0.117666363303392,-0.413600545604899,0.243213332081986
"NR",-0.477005386042477,-0.381633421867971,0.251993137437001,-0.343741423548397,-0.559158275236521,-0.681578538443942,0.53816498880937,0.111652678028371,-0.529340684195085,-0.0751196002596043,-0.0798069949213952,-0.39338399438014,-0.472684355481875,-0.227989829934677,-0.989724659702942,NA,-0.419538041393913,-0.349613324584112,-0.416187160677567,-0.791684255523093
